step_arrived;step_collisions;step_duration;step_ended;step_halting;step_inserted;step_loaded;step_meanSpeed;step_meanSpeedRelative;step_meanTravelTime;step_meanWaitingTime;step_running;step_stopped;step_teleports;step_time;step_waiting
29;0;0;29;8;62;62;8.15;0.59;102.72;0.79;33;0;0;223.00;0
29;0;0;29;10;63;63;7.76;0.56;102.72;0.79;34;0;0;224.00;0
29;0;1;29;7;63;63;7.76;0.56;102.72;0.79;34;0;0;225.00;0
29;0;1;29;6;63;63;7.95;0.57;102.72;0.79;34;0;0;226.00;0
29;0;0;29;6;64;64;8.21;0.59;102.72;0.80;35;0;0;227.00;0
29;0;0;29;5;64;64;8.70;0.63;102.72;0.80;35;0;0;228.00;0
29;0;0;29;3;64;64;9.24;0.67;102.72;0.80;35;0;0;229.00;0
29;0;0;29;1;64;64;9.69;0.70;102.72;0.80;35;0;0;230.00;0
29;0;1;29;1;65;65;9.94;0.72;102.72;0.80;36;0;0;231.00;0
29;0;0;29;0;65;65;10.25;0.74;102.72;0.80;36;0;0;232.00;0
29;0;0;29;0;65;65;10.54;0.76;102.72;0.80;36;0;0;233.00;0
29;0;0;29;1;66;66;10.49;0.76;102.72;0.79;37;0;0;234.00;0
29;0;1;29;0;66;66;10.87;0.78;102.72;0.79;37;0;0;235.00;0
31;0;1;31;0;66;66;11.09;0.80;104.23;0.79;35;0;0;236.00;0
31;0;0;31;0;66;66;11.48;0.83;104.23;0.79;35;0;0;237.00;0
32;0;0;32;1;67;67;11.56;0.83;104.78;0.79;35;0;0;238.00;0
33;0;0;33;0;67;67;12.01;0.86;105.67;0.79;34;0;0;239.00;0
34;0;1;34;0;67;67;12.12;0.87;105.91;0.79;33;0;0;240.00;0
35;0;1;35;0;67;67;12.35;0.89;105.94;0.79;32;0;0;241.00;0
35;0;0;35;1;68;68;12.01;0.86;105.94;0.79;33;0;0;242.00;0
37;0;0;37;0;68;68;12.22;0.88;106.32;0.79;31;0;0;243.00;0
38;0;0;38;0;68;68;12.25;0.88;106.24;0.79;30;0;0;244.00;0
38;0;0;38;1;69;69;11.99;0.86;106.24;0.80;31;0;0;245.00;0
40;0;0;40;0;69;69;12.28;0.88;106.55;0.80;29;0;0;246.00;0
40;0;0;40;0;69;69;12.44;0.90;106.55;0.80;29;0;0;247.00;0
42;0;0;42;0;69;69;12.67;0.91;106.40;0.80;27;0;0;248.00;0
44;0;0;44;1;70;70;12.19;0.88;105.84;0.80;26;0;0;249.00;0
44;0;0;44;0;70;70;12.49;0.90;105.84;0.80;26;0;0;250.00;0
46;0;0;46;0;70;70;12.61;0.91;105.26;0.80;24;0;0;251.00;0
46;0;0;46;1;71;71;12.25;0.88;105.26;0.79;25;0;0;252.00;0
47;0;0;47;0;71;71;12.40;0.89;105.17;0.79;24;0;0;253.00;0
47;0;0;47;0;71;71;12.51;0.90;105.17;0.79;24;0;0;254.00;0
47;0;1;47;0;71;71;12.73;0.92;105.17;0.79;24;0;0;255.00;0
48;0;1;48;1;72;72;12.38;0.89;104.77;0.79;24;0;0;256.00;0
48;0;0;48;0;72;72;12.52;0.90;104.77;0.79;24;0;0;257.00;0
48;0;0;48;0;72;72;12.74;0.92;104.77;0.79;24;0;0;258.00;0
48;0;0;48;0;72;72;12.86;0.93;104.77;0.79;24;0;0;259.00;0
49;0;0;49;1;73;73;12.23;0.88;104.41;0.79;24;0;0;260.00;0
49;0;0;49;0;73;73;12.38;0.89;104.41;0.79;24;0;0;261.00;0
49;0;0;49;0;73;73;12.54;0.90;104.41;0.79;24;0;0;262.00;0
49;0;0;49;1;74;74;12.16;0.88;104.41;0.80;25;0;0;263.00;0
49;0;0;49;0;74;74;12.33;0.89;104.41;0.80;25;0;0;264.00;0
49;0;1;49;0;74;74;12.42;0.89;104.41;0.80;25;0;0;265.00;0
49;0;0;49;0;74;74;12.62;0.91;104.41;0.80;25;0;0;266.00;0
50;0;1;50;1;75;75;12.01;0.86;104.12;0.80;25;0;0;267.00;0
50;0;0;50;0;75;75;11.72;0.84;104.12;0.80;25;0;0;268.00;0
50;0;0;50;0;75;75;11.50;0.83;104.12;0.80;25;0;0;269.00;0
50;0;0;50;2;76;76;10.90;0.78;104.12;0.79;26;0;0;270.00;0
50;0;0;50;2;76;76;10.93;0.79;104.12;0.79;26;0;0;271.00;0
51;0;0;51;2;76;76;10.94;0.79;103.73;0.79;25;0;0;272.00;0
51;0;0;51;3;76;76;10.97;0.79;103.73;0.79;25;0;0;273.00;0
51;0;1;51;4;77;77;10.56;0.76;103.73;0.79;26;0;0;274.00;0
52;0;1;52;3;77;77;10.66;0.77;103.56;0.79;25;0;0;275.00;0
53;0;1;53;3;77;77;10.61;0.76;103.34;0.79;24;0;0;276.00;0
53;0;0;53;3;77;77;10.56;0.76;103.34;0.79;24;0;0;277.00;0
53;0;0;53;4;78;78;10.04;0.72;103.34;0.79;25;0;0;278.00;0
53;0;0;53;3;78;78;9.98;0.72;103.34;0.79;25;0;0;279.00;0
53;0;0;53;3;78;78;9.82;0.71;103.34;0.79;25;0;0;280.00;0
53;0;1;53;5;79;79;9.32;0.67;103.34;0.80;26;0;0;281.00;0
53;0;0;53;4;79;79;9.40;0.68;103.34;0.80;26;0;0;282.00;0
53;0;0;53;5;79;79;9.55;0.69;103.34;0.80;26;0;0;283.00;0
53;0;0;53;5;79;79;9.67;0.70;103.34;0.80;26;0;0;284.00;0
53;0;0;53;6;80;80;9.36;0.67;103.34;0.80;27;0;0;285.00;0
53;0;0;53;5;80;80;9.42;0.68;103.34;0.80;27;0;0;286.00;0
53;0;0;53;5;80;80;9.58;0.69;103.34;0.80;27;0;0;287.00;0
53;0;0;53;6;81;81;9.35;0.67;103.34;0.79;28;0;0;288.00;0
53;0;0;53;5;81;81;9.37;0.67;103.34;0.79;28;0;0;289.00;0
53;0;1;53;5;81;81;9.57;0.69;103.34;0.79;28;0;0;290.00;0
53;0;1;53;5;81;81;9.53;0.69;103.34;0.79;28;0;0;291.00;0
53;0;1;53;6;82;82;9.38;0.68;103.34;0.79;29;0;0;292.00;0
53;0;0;53;5;82;82;9.33;0.67;103.34;0.79;29;0;0;293.00;0
53;0;0;53;6;82;82;9.27;0.67;103.34;0.79;29;0;0;294.00;0
53;0;0;53;6;82;82;9.37;0.67;103.34;0.79;29;0;0;295.00;0
53;0;0;53;7;83;83;9.12;0.66;103.34;0.80;30;0;0;296.00;0
53;0;0;53;6;83;83;8.99;0.65;103.34;0.80;30;0;0;297.00;0
53;0;0;53;6;83;83;9.25;0.67;103.34;0.80;30;0;0;298.00;0
53;0;0;53;7;84;84;8.94;0.64;103.34;0.80;31;0;0;299.00;0
53;0;0;53;6;84;84;8.79;0.63;103.34;0.80;31;0;0;300.00;0
53;0;0;53;8;84;84;8.92;0.64;103.34;0.80;31;0;0;301.00;0
53;0;0;53;8;84;84;8.91;0.64;103.34;0.80;31;0;0;302.00;0
53;0;0;53;9;85;85;8.61;0.62;103.34;0.80;32;0;0;303.00;0
53;0;0;53;8;85;85;8.78;0.63;103.34;0.80;32;0;0;304.00;0
53;0;0;53;8;85;85;8.84;0.64;103.34;0.80;32;0;0;305.00;0
53;0;0;53;9;86;86;8.62;0.62;103.34;0.79;33;0;0;306.00;0
53;0;1;53;8;86;86;8.61;0.62;103.34;0.79;33;0;0;307.00;0
53;0;0;53;9;86;86;8.68;0.63;103.34;0.79;33;0;0;308.00;0
53;0;0;53;9;86;86;8.73;0.63;103.34;0.79;33;0;0;309.00;0
53;0;0;53;10;87;87;8.41;0.61;103.34;0.79;34;0;0;310.00;0
53;0;0;53;9;87;87;8.39;0.60;103.34;0.79;34;0;0;311.00;0
53;0;0;53;10;87;87;8.22;0.59;103.34;0.79;34;0;0;312.00;0
53;0;0;53;11;87;87;7.79;0.56;103.34;0.79;34;0;0;313.00;0
53;0;0;53;13;88;88;7.45;0.54;103.34;0.80;35;0;0;314.00;0
